location_id,name,city,country,latitude,longitude,rating,num_reviews,price_level,category
20483367,Ludwig Hotel,Martonvasar,Hungary,47.316715,18.786625,,0,$$,hotel
6013656,"Brunszvik - Kastelypark, Beethoven Emlekmuzeum",Martonvasar,Hungary,47.315773,18.785679,4.2,51,,attraction
27198664,La Casa Del Caffe,Groslay,France,48.9867,2.343413,,0,,restaurant
27243427,Tout Appetit,Deuil-la-Barre,France,48.976616,2.337617,,0,,restaurant
5873544,Delice Pizza,Groslay,France,48.98711,2.34449,4.5,2,,restaurant
23637505,Restaurant Deli Sushi,Groslay,France,48.985527,2.345568,,0,,restaurant
17706261,Deli Sushi,Groslay,France,48.98553,2.35044,5.0,2,,restaurant
27243424,Le Sancerre Groslay,Groslay,France,48.98859,2.349914,,0,,restaurant
4539290,La Squadra,Groslay,France,48.98588,2.34895,4.2,76,$$ - $$$,restaurant
21335457,Fontaine Aux Cochons,Saint Brice Sous Foret,France,49.00427,2.343654,4.0,1,,attraction
21272327,Nouveau Wok 95,Saint Brice Sous Foret,France,49.007843,2.34873,4.1,42,$$ - $$$,restaurant
23524945,הסעות בפריז,Paris,France,48.99533,2.34917,5.0,1,,attraction
17578816,Rak-khun Thai Massage,Zurich,Switzerland,47.41646,8.51185,5.0,8,,attraction
19917899,Goldschmied Simon Binder,Zurich,Switzerland,47.41706,8.51158,,0,,attraction
4150602,Restaurant Busi,Zurich,Switzerland,47.42703,8.510224,4.3,12,$$ - $$$,restaurant
13400020,Etynic One Thai Massage Spa,Zurich,Switzerland,47.41665,8.51144,,0,,attraction
28083810,Restaurant Frieden,Zurich,Switzerland,47.415787,8.513107,,0,,restaurant
10106914,Restaurant Kathy,Zurich,Switzerland,47.41538,8.5121,5.0,4,$,restaurant
28083808,La Piuranita Ag,Zurich,Switzerland,47.41515,8.51574,,0,,restaurant
28084447,Restaurant Bellavista Ethz,Zurich,Switzerland,47.410423,8.509494,,0,,restaurant
10806482,Restaurant Bellavista,Zurich,Switzerland,47.410435,8.509463,4.5,15,$$ - $$$,restaurant
23177535,Tlili,Zurich,Switzerland,47.41276,8.50943,,0,,hotel
